TOT_POP,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
117123,15406,16423,13474,7952,3097,102915,117123,29143,23594,56576,54264,111610,21894,89893,45840,35418,9371,11281,2604,7178
151366,18660,16232,11602,6634,3796,122615,151366,23540,32073,57865,53384,150183,20569,110402,46947,37647,6984,12751,3412,6652
22300,2667,3273,2911,1781,903,15164,22300,6798,3049,8941,8345,22881,5211,17508,8867,6846,2033,2801,682,1709
13188,1508,1750,1682,875,416,12469,13188,3570,2960,7579,7302,13056,2777,9770,3444,2570,707,943,296,668
446610,53688,60006,53549,30343,15625,266678,446610,69822,115304,209721,201553,434981,90069,347870,125524,94273,19582,38175,10260,19834
5478,560,801,702,507,387,4475,5478,1560,1108,3078,2999,5480,1628,4214,1872,1378,328,535,159,410
13345,1950,1793,1769,914,496,12463,13345,3650,2229,4476,4193,13281,3148,10907,5930,4166,1612,1777,423,1255
142854,14547,15537,14837,7770,3371,93812,142854,17604,26746,77083,72850,138639,23195,113400,36031,27896,7322,9597,3246,6344
7090,815,1225,1273,652,225,6674,7090,1465,1409,4054,3925,6950,1982,5812,2373,1866,389,575,164,387
22107,2681,3052,3807,2386,1010,20495,22107,3992,5248,10076,9503,21172,6449,17828,6674,4867,1480,2271,651,1572
130090,14725,17943,14983,8356,4571,120505,130090,23287,24040,73309,71633,126552,25034,105954,41304,31680,7373,10328,2656,6329
165324,19576,19438,16553,8339,4721,110534,165324,33783,30238,77858,74105,163227,27635,119273,60820,49260,9450,18099,4100,8764
161503,22552,25275,16316,8977,4225,69056,161503,32983,34476,85104,81805,156021,26064,122800,59415,51085,7638,15416,3444,6919
20470,2500,2978,2632,1570,951,19556,20470,5572,4638,10852,10510,20495,4743,15662,7182,5262,1456,1811,482,1278
8632,1061,1260,1255,791,403,8478,8632,3302,785,3113,2850,8901,2226,6723,4126,2884,1128,1198,279,878
136271,16000,15834,15001,8840,4778,124661,136271,19061,32985,71375,69502,130552,25788,103770,41519,32895,6364,10383,2753,6566
16272,1895,2161,1986,1214,682,11524,16272,4563,2624,6349,5997,17344,3691,12089,6963,4884,1557,1985,497,1217
30772,3838,4358,3696,2291,1073,20717,30772,7675,5757,15067,14547,29889,6464,23693,11444,8909,1794,2911,735,1686
1039073,113713,120674,127882,92566,50203,882105,1039073,152408,230498,486261,464433,1007257,245814,822337,332209,236011,57452,88469,28191,63461
65592,8001,9250,8697,5388,2546,47465,65592,16431,13258,28930,27904,63734,15574,50425,23910,17901,4378,7341,1749,4043
23659,2564,3300,3348,1989,1186,8422,23659,5307,5496,9120,8662,24262,6311,19192,10847,8368,1955,3536,856,1857
74808,9746,7277,5672,3539,1621,55029,74808,13217,21029,24402,23392,75818,9667,57755,25149,19232,3783,5948,1508,3358
277,26,39,38,17,18,265,277,60,47,214,208,289,32,207,93,68,16,25,7,17
125043,14046,15253,14218,7854,4513,68303,125043,25023,31215,52537,49508,128221,23922,91989,42375,31184,8235,12569,3396,7170
